id,Domain,Goal,Plan
139,"[[-80.71505734, 32.22404532], [-79.95502504132148, 32.80355555]]","HILTON HEAD HOSPITAL (HILTON HEAD ISLAND, SC) to Florence Crittenton Home (Charleston, SC)","[['Drive west.', 'Turn right after 39 meters or 5-6 seconds.', 'Turn left onto Lamotte Drive.', 'Turn right onto Hospital Center Boulevard.', 'Turn right after 107 meters or 15-19 seconds.', 'Turn right onto North Main Street.', 'Turn left after 111 meters or 15-18 seconds.', 'Turn right onto Automobile Place.', 'Turn right onto US 278 BUS/William Hilton Parkway.', 'Stay straight to take the ramp.', 'Keep left to stay on US 278 BUS/William Hilton Parkway.', 'Keep left to take US 278 BUS/William Hilton Parkway.', 'Continue on US 278.', 'Take the exit on the right after 20711 meters or 829-1014 seconds.', 'Keep left at the fork.', 'Turn right onto SC 170/Okatie Highway.', 'Take the exit.', 'Turn left onto Lowcountry Drive/SC 462. Continue on SC 462.', 'Take the I 95 North/US 17 North ramp on the right toward Florence.', 'Take exit 33 on the right onto US 17 North toward Charleston/Beaufort.', 'Keep left to take US 17.', 'Keep left to take US 17 Alt/ US 21.', 'Turn right to stay on US 17 Alt/ US 21.', 'Bear left onto US 17 North/Savannah Highway.', 'Keep right to take Cannon Street.', 'Turn left onto Ashley Avenue.', 'Keep right to stay on Ashley Avenue.', 'Turn right onto Huger Street.', 'Turn left onto Rutledge Avenue.', 'Turn left onto Saint Margaret Street.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right after 39 meters or 5-6 seconds.', 'Turn left onto Lamotte Drive.', 'Turn right onto Hospital Center Boulevard.', 'Turn right after 107 meters or 15-19 seconds.', 'Turn right onto North Main Street.', 'Turn left after 111 meters or 15-18 seconds.', 'Turn right onto Automobile Place.', 'Turn right onto US 278 BUS/William Hilton Parkway.', 'Stay straight to take the ramp.', 'Keep left to stay on US 278 BUS/William Hilton Parkway.', 'Keep left to take US 278 BUS/William Hilton Parkway.', 'Continue on US 278.', 'Take the exit on the right after 20711 meters or 829-1014 seconds.', 'Keep left at the fork.', 'Turn right onto SC 170/Okatie Highway.', 'Take the exit.', 'Turn left onto Lowcountry Drive/SC 462. Continue on SC 462.', 'Take the I 95 North ramp on the right toward Florence.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right after 39 meters or 5-6 seconds.', 'Turn left onto Lamotte Drive.', 'Turn right onto Hospital Center Boulevard.', 'Turn right after 107 meters or 15-19 seconds.', 'Turn right onto North Main Street.', 'Turn left after 111 meters or 15-18 seconds.', 'Turn right onto Automobile Place.', 'Turn right onto US 278 BUS/William Hilton Parkway.', 'Stay straight to take the ramp.', 'Keep left to stay on US 278 BUS/William Hilton Parkway.', 'Keep left to take US 278 BUS/William Hilton Parkway.', 'Continue on US 278.', 'Take the exit on the right after 20711 meters or 829-1014 seconds.', 'Keep left at the fork.', 'Turn right onto SC 170/Okatie Highway.', 'Take the exit.', 'Turn left onto Lowcountry Drive/SC 462. Continue on SC 462.', 'Take the I 95 North ramp on the right toward Florence.', 'You have arrived at your destination.']]"
140,"[[-77.980731, 39.151741], [-78.00057543962043, 38.45412255]]","Clarke County Courthouse (Old) (Berryville, VA) to Greenwood (Culpeper, VA)","[['Drive southwest on North Church Street.', 'Turn right onto West Main Street/VA 7 BUS.', 'Turn left onto South Buckmarsh Street/US 340. Continue on US 340.', 'Turn left onto Bishop Meade Highway/VA 255. Continue on VA 255.', 'Turn left onto Bishop Meade Road/VA 255.', 'Bear right to stay on Bishop Meade Road/VA 255.', 'Turn left onto US 17/US 50/John Singleton Mosby Highway.', 'Take the exit on the right after 10381 meters or 394-481 seconds.', 'Keep left to take I 66 East toward Marshall/Fredericksburg.', 'Take exit 28 on the right onto US 17 toward Warrenton/Fredericksburg.', 'Keep right to stay on US 17.', 'Keep right to stay on US 17 toward Fredericksburg.', 'Keep left to take US 15 South/US 29/James Madison Highway.', 'You have arrived at your destination.'], ['Drive southwest on North Church Street.', 'Turn right onto West Main Street/VA 7 BUS.', 'Turn left onto South Buckmarsh Street/US 340. Continue on US 340.', 'Turn left onto US 340 West/US 522/Stonewall Jackson Highway.', 'Turn left onto Kendrick Lane.', 'Bear left onto West 6th Street.', 'Turn right onto North Commerce Avenue/US 522. Continue on US 522.', 'Turn left onto US 211/Lee Highway. Continue on US 211.', 'Turn right onto Viewtown Road/SR 642.', 'Turn left onto Waterford Road/SR 611.', 'Turn right onto Rixeyville Road/VA 229. Continue on VA 229.', 'Exit the roundabout onto North Main Street/US 15 BUS/US 29 BUS. Continue on US 15 BUS/US 29 BUS.', 'Bear left onto Orange Road.', 'Turn left after 1594 meters or 112-137 seconds.', 'You have arrived at your destination.'], ['Drive southwest on North Church Street.', 'Turn right onto West Main Street/VA 7 BUS.', 'Turn left onto South Buckmarsh Street/US 340. Continue on US 340.', 'Turn left onto Bishop Meade Highway/VA 255. Continue on VA 255.', 'Turn left onto Bishop Meade Road/VA 255.', 'Bear right to stay on Bishop Meade Road/VA 255.', 'Turn left onto US 17/US 50/John Singleton Mosby Highway.', 'Take the exit on the right after 10381 meters or 394-481 seconds.', 'Keep left to take I 66 East toward Marshall/Fredericksburg.', 'Take exit 28 on the right onto US 17 toward Warrenton/Fredericksburg.', 'Keep right to stay on US 17.', 'Keep left to take US 17 BUS toward Warrenton.', 'Turn right onto Roebling Street.', 'Turn right onto US 211/US 17 BUS/US 29 BUS/Broadview Avenue.', 'Turn right onto US 211/Frost Avenue. Continue on US 211.', 'Turn left onto Rixeyville Road/VA 229. Continue on VA 229.', 'Exit the roundabout onto North Main Street/US 15 BUS/US 29 BUS. Continue on US 15 BUS/US 29 BUS.', 'Bear left onto Orange Road.', 'Turn left after 1594 meters or 112-137 seconds.', 'You have arrived at your destination.']]"
141,"[[-90.06620206122449, 29.951512183673472], [-90.74930615, 29.62086075]]","U.S. Customhouse (New Orleans, LA) to COMPASS BEHAVIORAL CENTER OF HOUMA (HOUMA, LA)","[['Drive northwest on Canal Street.', 'Make a left U-turn to stay on Canal Street.', 'Turn right onto Tchoupitoulas Street.', 'Turn right onto Calliope Street.', 'Stay straight to take the ramp toward I 10.', 'Take exit 220 on the right onto I 310 South toward Boutte/Houma.', 'Keep right to take US 90 West toward Houma.', 'You have arrived at your destination.'], ['Drive northwest on Canal Street.', 'Make a left U-turn to stay on Canal Street.', 'Turn right onto Tchoupitoulas Street.', 'Turn right onto Lafayette Street.', 'Turn left onto Magazine Street.', 'Bear right after 733 meters or 59-72 seconds.', 'Take the US 90 Business ramp.', 'Take the US 90 West exit on the right toward Boutte/Raceland.', 'You have arrived at your destination.'], ['Drive northwest on Canal Street.', 'Make a left U-turn to stay on Canal Street.', 'Turn right onto Tchoupitoulas Street.', 'Turn right onto Lafayette Street.', 'Turn left onto Magazine Street.', 'Bear right after 733 meters or 59-72 seconds.', 'Take the US 90 Business ramp.', 'Turn right onto Westwood Drive.', 'Make a left U-turn to stay on Westwood Drive.', 'Turn right onto US 90 BUS/Westbank Expressway.', 'Take the US 90 West exit on the right toward Boutte/Raceland.', 'You have arrived at your destination.']]"
142,"[[-79.09907446938774, 36.07879444897959], [-79.82541858, 36.08342606]]","Heartsease (Hillsborough, NC) to WESLEY LONG COMMUNITY HOSPITAL (GREENSBORO, NC)","[['Drive west on East Queen Street.', 'Turn right onto North Churton Street/US 70 Business/NC 86.', 'Turn left onto West Corbin Street/US 70 Business. Continue on US 70 Business.', 'Turn left onto Cornelius Street/US 70/NC 86 Truck. Continue on NC 86 Truck.', 'Keep left to take I 85 US 70 Connector/NC 86 Truck.', 'Take the ramp on the right after 1586 meters or 59-72 seconds.', 'Keep left to take I 85 South.', 'Keep right to stay on I 40.', 'Take exit 224 on the right onto NC 6 toward US 29 North/US 220 North.', 'Keep right to take East Gate City Boulevard.', 'Turn right onto Lincoln Street.', 'Turn left onto McConnell Road.', 'Turn right onto South Dudley Street.', 'Turn left onto East Market Street.', 'Turn right onto North Elm Street.', 'Turn left onto Bellemeade Street.', 'Turn right onto North Eugene Street.', 'Bear left onto Battleground Avenue.', 'Turn left onto West Fisher Avenue.', 'Turn right onto North Edgeworth Street.', 'Keep left to take Benjamin Parkway.', 'Turn left onto North Elam Avenue.', 'Turn right after 398 meters or 29-35 seconds.', 'Turn left after 22 meters or 8-10 seconds.', 'You have arrived at your destination.'], ['Drive west on East Queen Street.', 'Turn right onto North Churton Street/US 70 Business/NC 86.', 'Turn left onto West Corbin Street/US 70 Business. Continue on US 70 Business.', 'Turn left onto Cornelius Street/US 70/NC 86 Truck. Continue on NC 86 Truck.', 'Keep left to take I 85 US 70 Connector/NC 86 Truck.', 'Take the ramp on the right after 1586 meters or 59-72 seconds.', 'Keep left to take I 85 South.', 'Take exit 140 on the right toward University Drive/Elon.', 'Turn right onto University Drive.', 'Turn left onto Westbrook Avenue.', 'Turn right onto Springwood Avenue.', 'Turn left onto Burke Street.', 'Turn right to stay on Burke Street.', 'Turn left onto West Main Street/NC 100. Continue on NC 100.', 'Turn right onto West Minneola Street.', 'Turn left onto Saint John Church Road.', 'Bear right onto Bethel Church Road.', 'Turn left onto Knox Road.', 'Turn right onto Burlington Road/US 70.', 'Turn left onto Hill Street.', 'Turn right onto Battleground Avenue.', 'Keep left to take Benjamin Parkway.', 'Turn left onto North Elam Avenue.', 'Turn right after 398 meters or 29-35 seconds.', 'Turn left after 22 meters or 8-10 seconds.', 'You have arrived at your destination.'], ['Drive west on East Queen Street.', 'Turn right onto North Churton Street/US 70 Business/NC 86.', 'Turn left onto West Corbin Street/US 70 Business. Continue on US 70 Business.', 'Turn left onto Cornelius Street/US 70/NC 86 Truck. Continue on NC 86 Truck.', 'Keep left to take I 85 US 70 Connector/NC 86 Truck.', 'Take the ramp on the right after 1586 meters or 59-72 seconds.', 'Keep left to take I 85 South.', 'Take exit 140 on the right toward University Drive/Elon.', 'Turn right onto University Drive.', 'Turn left onto Westbrook Avenue.', 'Turn right onto Springwood Avenue.', 'Turn left onto Burke Street.', 'Turn right to stay on Burke Street.', 'Turn left onto West Main Street/NC 100. Continue on NC 100.', 'Turn right onto West Minneola Street.', 'Turn left onto Frank Road.', 'Turn right onto Bethel Church Road.', 'Turn left onto Knox Road.', 'Turn right onto Burlington Road/US 70.', 'Turn left onto Hill Street.', 'Turn right onto Battleground Avenue.', 'Keep left to take Benjamin Parkway.', 'Turn left onto North Elam Avenue.', 'Turn right after 398 meters or 29-35 seconds.', 'Turn left after 22 meters or 8-10 seconds.', 'You have arrived at your destination.']]"
143,"[[-93.46605075274628, 35.47252705], [-93.15470123291016, 36.26150131225586]]","First Presbyterian Church (Clarksville, AR) to Boone County Airport (HARRISON, AR)","[['Drive south on North College Avenue/AR 103.', 'Turn left onto West Main Street/US 64/AR 103. Continue on US 64.', 'Turn left onto Highway 21/AR 21. Continue on AR 21.', 'Keep left to stay on AR 21.', 'Bear right onto AR 43.', 'Turn left onto AR 397.', 'Turn left onto AR 392.', 'Turn right onto AR 397.', 'Turn left onto Industrial Park Road.', 'Bear right onto Airport Road.', 'Turn left after 1614 meters or 105-128 seconds.', 'You have arrived at your destination.'], ['Drive south on North College Avenue/AR 103.', 'Turn left onto West Main Street/US 64/AR 103. Continue on US 64.', 'Turn left onto Highway 21/AR 21.', 'Turn right onto State Highway 292/AR 292.', 'Bear left onto AR 123.', 'Turn left onto AR 7/AR 16. Continue on AR 7.', 'Turn right onto Court Street/AR 7. Continue on AR 7.', 'Turn left onto Wilson Avenue/AR 43. Continue on AR 43.', 'Turn right onto AR 397.', 'Turn left onto AR 392.', 'Turn right onto AR 397.', 'Turn left onto Industrial Park Road.', 'Bear right onto Airport Road.', 'Turn left after 1614 meters or 105-128 seconds.', 'You have arrived at your destination.'], ['Drive south on North College Avenue/AR 103.', 'Turn left onto West Main Street/US 64/AR 103. Continue on US 64.', 'Turn left onto Highway 21/AR 21.', 'Turn right onto State Highway 292/AR 292.', 'Turn right onto County Road 3631.', 'Make a sharp left onto AR 123.', 'Turn left onto AR 7/AR 16. Continue on AR 7.', 'Turn right onto Court Street/AR 7. Continue on AR 7.', 'Turn left onto Wilson Avenue/AR 43. Continue on AR 43.', 'Turn right onto AR 397.', 'Turn left onto AR 392.', 'Turn right onto AR 397.', 'Turn left onto Industrial Park Road.', 'Bear right onto Airport Road.', 'Turn left after 1614 meters or 105-128 seconds.', 'You have arrived at your destination.']]"
144,"[[-75.606352, 39.740166], [-75.48426014, 39.15367085]]","WILMINGTON VA MEDICAL CENTER (WILMINGTON, DE) to DOVER BEHAVIORAL HEALTH SYSTEM (DOVER, DE)","[['Drive south.', 'Bear right onto Kirkwood Highway.', 'Turn right onto Kirkwood Highway/DE 2.', 'Turn right to take the DE 141 ramp toward Newport.', 'Keep left to take DE 141 South toward Newport.', 'Take exit 3B on the right onto I 95 South toward Newark/Baltimore.', 'You have arrived at your destination.'], ['Drive south.', 'Bear right onto Kirkwood Highway.', 'Turn right onto Kirkwood Highway/DE 2.', 'Turn right to take the DE 141 ramp toward Newport.', 'Keep left to take DE 141 South toward Newport.', 'Take exit 3B on the right onto I 95 South toward Newark/Baltimore.', 'You have arrived at your destination.'], ['Drive south.', 'Bear right onto Kirkwood Highway.', 'Turn right onto Kirkwood Highway/DE 2.', 'Turn right to take the DE 141 ramp toward Newport.', 'Keep left to take DE 141 South toward Newport.', 'Take exit 3B on the right onto I 95 South toward Newark/Baltimore.', 'You have arrived at your destination.']]"
145,"[[-113.6860967, 42.62039729], [-113.772003174, 42.5425987244]]","MINIDOKA MEMORIAL HOSPITAL (RUPERT, ID) to Burley Municipal Airport (BURLEY, ID)","[['Drive west.', 'Turn right onto 8th Street.', 'Turn left onto South 100 West.', 'Turn left onto 100 South Road/ID 25. Continue on ID 25.', 'Turn right onto State Highway 24/ID 24.', 'Turn right onto Hiland Avenue.', 'Turn right after 485 meters or 52-63 seconds.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right onto 8th Street.', 'Turn left onto South 100 West.', 'Turn left onto 100 South Road/ID 25. Continue on ID 25.', 'Turn right onto State Highway 24/ID 24.', 'Turn left to take the I 84 ramp.', 'Take exit 208 on the right onto ID 27 toward Burley/Paul.', 'Turn left onto North Overland Avenue/ID 27. Continue on ID 27.', 'Turn left onto East 8th Street.', 'Turn right onto Oriental Avenue.', 'Turn left onto East Railroad Avenue.', 'Turn right after 61 meters or 9-11 seconds.', 'Turn left after 45 meters or 10-13 seconds.', 'You have arrived at your destination.'], ['Drive west.', 'Turn right onto 8th Street.', 'Turn left onto South 100 West.', 'Turn left onto 100 South Road/ID 25. Continue on ID 25.', 'Turn right onto State Highway 24/ID 24.', 'Turn left to take the I 84 ramp.', 'Take exit 208 on the right onto ID 27 toward Burley/Paul.', 'Turn left onto North Overland Avenue/ID 27. Continue on ID 27.', 'Turn left onto East 9th Street.', 'Turn right after 815 meters or 78-95 seconds.', 'Turn left after 45 meters or 10-13 seconds.', 'You have arrived at your destination.']]"
146,"[[-75.66912143, 39.68748604], [-75.5471994453431, 39.74660864671458]]","CHRISTIANA CARE-CHRISTIANA HOSPITAL (NEWARK, DE) to Wilmington Club (Wilmington, DE)","[['Drive southwest.', 'Turn left after 70 meters or 23-28 seconds.', 'Turn left after 107 meters or 19-24 seconds.', 'Turn right after 532 meters or 88-108 seconds.', 'Turn right after 108 meters or 22-26 seconds.', 'Turn right onto Churchmans Road/DE 58.', 'Take the DE 1 South/DE 7 South ramp on the right toward Christiana.', 'Keep left to take I 95 North toward Wilmington/Christiana.', 'Keep right to take exit 165B onto I 95 North toward Wilmington.', 'Keep left to take I 95 North/Wilmington Expressway toward Wilmington/Philadelphia.', 'Keep left to take I 95 North/US 202 North/Wilmington Expressway.', 'Take exit 7 on the right onto DE 52 toward Delaware Avenue.', 'Turn right onto West 11th Street.', 'Turn left onto North Market Street.', 'You have arrived at your destination.'], ['Drive southwest.', 'Turn left after 70 meters or 23-28 seconds.', 'Turn left after 107 meters or 19-24 seconds.', 'Turn right after 532 meters or 88-108 seconds.', 'Turn right after 108 meters or 22-26 seconds.', 'Turn right onto Churchmans Road/DE 58.', 'Take the DE 1 South/DE 7 South ramp on the right toward Christiana.', 'Keep left to take I 95 North toward Wilmington/Christiana.', 'Keep right to take exit 165B onto I 95 North toward Wilmington.', 'Keep left to take I 95 North/Wilmington Expressway toward Wilmington/Philadelphia.', 'Keep right to take I 495 North/Vietnam Veterans Memorial Highway.', 'Turn right after 7223 meters or 223-273 seconds.', 'Make a sharp right after 57 meters or 11-14 seconds.', 'Turn right onto East 12th Street.', 'Turn left onto Northeast Boulevard/US 13. Continue on US 13.', 'Turn right onto East 10th Street.', 'Turn right onto North Market Street.', 'You have arrived at your destination.'], ['Drive southwest.', 'Turn left after 70 meters or 23-28 seconds.', 'Turn left after 107 meters or 19-24 seconds.', 'Turn right after 532 meters or 88-108 seconds.', 'Turn right after 108 meters or 22-26 seconds.', 'Turn right onto Churchmans Road/DE 58.', 'Take the DE 1 South/DE 7 South ramp on the right toward Christiana.', 'Keep left to take I 95 North toward Wilmington/Christiana.', 'Keep right to take exit 165B onto I 95 North toward Wilmington.', 'Keep left to take I 95 North/Wilmington Expressway toward Wilmington/Philadelphia.', 'Keep right to take I 495 North/Vietnam Veterans Memorial Highway.', 'Take exit 3 on the right toward 12th Street.', 'Turn left onto East 12th Street.', 'Turn left onto Northeast Boulevard/US 13. Continue on US 13.', 'Turn right onto East 10th Street.', 'Turn right onto North Market Street.', 'You have arrived at your destination.']]"
147,"[[-95.93640280722892, 36.152811903614456], [-96.68334576, 35.74848483]]","Will Rogers High School (Tulsa, OK) to STROUD REGIONAL MEDICAL CENTER (STROUD, OK)","[['Drive west on East 5th Place South.', 'Turn right onto South Harvard Avenue East.', 'Bear left onto East Admiral Place North/US Historic 66 1926-1932.', 'Take the I 244 West ramp.', 'Keep right to take exit 6C onto 1st Street toward 1st Street/Downtown.', 'Bear left onto South Heavy Traffic Way.', 'Stay straight to take the I 244 West ramp toward I 44.', 'Keep right to stay on I 244 West/Martin Luther King, Junior Memorial Expressway toward Oklahoma City.', 'You have arrived at your destination.'], ['Drive west on East 5th Place South.', 'Turn right onto South Harvard Avenue East.', 'Bear left onto East Admiral Place North/US Historic 66 1926-1932.', 'Take the I 244 West ramp.', 'Keep right to take exit 6C onto 1st Street toward 1st Street/Downtown.', 'Bear left onto South Heavy Traffic Way.', 'Stay straight to take the I 244 West ramp toward I 44.', 'Keep right to stay on I 244 West/Martin Luther King, Junior Memorial Expressway toward Oklahoma City.', 'Take exit 211 on the right onto OK 33/OK 66 toward Drumright.', 'Keep right to take OK 33 West toward Drumright.', 'Turn right onto South 513th West Avenue/CR N3620.', 'Turn left onto E0700 Road.', 'Turn right onto West Broadway Street/OK 33/OK 99. Continue on OK 33/OK 99.', 'Turn left onto Veterans Memorial Highway/OK 99. Continue on OK 99.', 'Turn right onto West Main Street/US Historic 66/OK 66. Continue on US Historic 66/OK 66.', 'Turn left after 1888 meters or 85-104 seconds.', 'You have arrived at your destination.'], ['Drive west on East 5th Place South.', 'Turn right onto South Harvard Avenue East.', 'Bear left onto East Admiral Place North/US Historic 66 1926-1932.', 'Take the I 244 West ramp.', 'Keep right to take exit 6C onto 1st Street toward 1st Street/Downtown.', 'Bear left onto South Heavy Traffic Way.', 'Stay straight to take the I 244 West ramp toward I 44.', 'Keep right to stay on I 244 West/Martin Luther King, Junior Memorial Expressway toward Oklahoma City.', 'Take exit 211 on the right onto OK 33/OK 66 toward Drumright.', 'Keep right to take OK 33 West toward Drumright.', 'Turn right onto South 433rd West Avenue/CR N3670.', 'Turn left after 22 meters or 6-7 seconds.', 'Bear right onto OK 33.', 'Turn right onto South 513th West Avenue/CR N3620.', 'Turn left onto E0700 Road.', 'Turn right onto West Broadway Street/OK 33/OK 99. Continue on OK 33/OK 99.', 'Turn left onto Veterans Memorial Highway/OK 99. Continue on OK 99.', 'Turn right onto West Main Street/US Historic 66/OK 66. Continue on US Historic 66/OK 66.', 'Turn left after 1888 meters or 85-104 seconds.', 'You have arrived at your destination.']]"
148,"[[-72.56230164, 44.20349884], [-72.3190035, 43.64883215384616]]","Edward F Knapp State Airport (BARRE/MONTPELIER, VT) to Old Constitution House (Windsor, VT)","[['Drive north on Airport Road.', 'Turn left onto Vermont Route 62/VT 62.', 'Keep left to take I 89 South toward White River Junction.', 'You have arrived at your destination.'], ['Drive south on Airport Road.', 'Turn left onto Miller Road.', 'Turn right onto Morrison Road.', 'Turn right onto South Barre Road/VT 14.', 'Turn right onto Vermont Route 65/VT 65.', 'Turn left onto Ridge Road.', 'Turn right onto Vermont Route 66/VT 66.', 'Turn right to stay on Vermont Route 66/VT 66.', 'Turn left to take the I 89 South ramp toward White River Junction.', 'You have arrived at your destination.'], ['Drive south on Airport Road.', 'Turn left onto Miller Road.', 'Turn right onto Morrison Road.', 'Turn right onto South Barre Road/VT 14.', 'Turn right onto Vermont Route 107/VT 107.', 'Turn right to take the I 89 South ramp.', 'You have arrived at your destination.']]"
149,"[[-76.92066798, 38.93102538], [-77.41168458823529, 39.40948232352941]]","PRINCE GEORGES HOSPITAL CENTER (CHEVERLY, MD) to Hessian Barracks (Frederick, MD)","[['Drive southeast.', 'Turn left onto Mercy Lane.', 'Stay straight to take the Baltimore-Washington Parkway ramp toward Baltimore/Baltimore-Washington International Thurgood Marshall Airport.', 'Take the MD 450 exit on the right toward Bladensburg.', 'Keep left to take Baltimore-Washington Parkway toward Bladensburg.', 'Take the I 95 North exit on the right toward Baltimore/College Park.', 'Keep left to stay on I 495/Capital Beltway toward Beltway/Silver Spring.', 'Keep right to take exit 35 onto I 270 North toward Frederick.', 'Keep left to stay on I 270 North.', 'Take exit 11/12 on the right onto MD 117/MD 124 North toward Clopper Road/West Diamond Avenue/Montgomery Village Avenue/Quince Orchard Road.', 'Keep left to stay on I 270 North.', 'Take exit 31 on the right onto MD 85/Buckeystown Pike toward Frederick.', 'Keep right to take MD 85 North toward Frederick.', 'Turn right onto Grove Road.', 'Turn left onto Urbana Pike/MD 355. Continue on MD 355.', 'You have arrived at your destination.'], ['Drive southeast.', 'Turn left onto Mercy Lane.', 'Stay straight to take the Baltimore-Washington Parkway ramp toward Baltimore/Baltimore-Washington International Thurgood Marshall Airport.', 'Take the MD 450 exit on the right toward Bladensburg.', 'Keep left to take Baltimore-Washington Parkway toward Bladensburg.', 'Take the I 95 North exit on the right toward Baltimore/College Park.', 'Take exit 23 on the right onto MD 201 toward Bladensburg/Greenbelt.', 'Turn right onto Kenilworth Avenue/MD 201. Continue on MD 201.', 'Turn left onto Powder Mill Road/MD 212A.', 'Turn right onto Baltimore Avenue/US 1.', 'Turn left to take the MD 200 Toll West ramp toward I 95/I 270.', 'Take the I 270 North exit on the right toward Frederick.', 'Keep left to stay on I 270 North.', 'Take exit 31 on the right onto MD 85/Buckeystown Pike toward Frederick.', 'Keep right to take MD 85 North toward Frederick.', 'Turn right onto Grove Road.', 'Turn left onto Urbana Pike/MD 355. Continue on MD 355.', 'You have arrived at your destination.'], ['Drive southeast.', 'Turn left onto Mercy Lane.', 'Stay straight to take the Baltimore-Washington Parkway ramp toward Baltimore/Baltimore-Washington International Thurgood Marshall Airport.', 'Take the MD 450 exit on the right toward Bladensburg.', 'Keep left to take Baltimore-Washington Parkway toward Bladensburg.', 'Take the I 95 North exit on the right toward Baltimore/College Park.', 'Take exit 23 on the right onto MD 201 toward Bladensburg/Greenbelt.', 'Turn right onto Kenilworth Avenue/MD 201. Continue on MD 201.', 'Turn left onto Powder Mill Road/MD 212A.', 'Turn right onto Cook Road.', 'Turn left after 37 meters or 4-5 seconds.', 'Turn right onto Powder Mill Road/MD 212A.', 'Turn right onto Baltimore Avenue/US 1.', 'Turn left to take the MD 200 Toll West ramp toward I 95/I 270.', 'Take the I 270 North exit on the right toward Frederick.', 'Keep left to stay on I 270 North.', 'Take exit 31 on the right onto MD 85/Buckeystown Pike toward Frederick.', 'Keep right to take MD 85 North toward Frederick.', 'Turn right onto Grove Road.', 'Turn left onto Urbana Pike/MD 355. Continue on MD 355.', 'You have arrived at your destination.']]"
150,"[[-71.79491979, 42.27641208], [-71.12577756000431, 42.37678475]]","ADCARE HOSPITAL OF WORCESTER INC (WORCESTER, MA) to Hastings, Oliver, House (Cambridge, MA)","[['Drive west.', 'Turn right onto Lincoln Street/MA 70.', 'Turn right to take the I 290 ramp toward Marlboro.', 'Take exit 32A on the right onto I 495 South toward Cape Cod.', 'Take exit 58 on the right onto I 90 Toll toward Boston.', 'Keep right to take I 90 East toward Boston.', 'Keep left to stay on I 90 East/Massachusetts Turnpike.', 'Take exit 131 toward Cambridge/Fenway Park.', 'Keep right to take Cambridge Street toward Cambridge/Fenway Park.', 'Turn left onto US 3/MA 2/Memorial Drive.', 'Take the exit on the right after 1821 meters or 100-123 seconds.', 'Turn right onto Mount Auburn Street.', 'Turn left onto Ash Street.', 'Turn left onto Brattle Street.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left onto Lincoln Street/MA 70.', 'Turn left onto MA 9/Belmont Street. Continue on MA 9.', 'Take the I 90 East ramp on the right toward Boston.', 'Keep right to take I 90 East toward Boston.', 'Keep left to stay on I 90 East/Massachusetts Turnpike.', 'Take exit 131 toward Cambridge/Fenway Park.', 'Keep right to take Cambridge Street toward Cambridge/Fenway Park.', 'Turn left onto US 3/MA 2/Memorial Drive.', 'Take the exit on the right after 1821 meters or 100-123 seconds.', 'Turn right onto Mount Auburn Street.', 'Turn left onto Ash Street.', 'Turn left onto Brattle Street.', 'You have arrived at your destination.'], ['Drive west.', 'Turn left onto Lincoln Street/MA 70.', 'Turn left onto MA 9/Belmont Street. Continue on MA 9.', 'Turn right after 20077 meters or 882-1078 seconds.', 'Turn left after 30 meters or 4-5 seconds.', 'Turn right onto MA 9/Turnpike Road. Continue on MA 9.', 'Take the I 90 East ramp on the right toward Boston.', 'Keep right to take I 90 East toward Boston.', 'Keep left to stay on I 90 East/Massachusetts Turnpike.', 'Take exit 131 toward Cambridge/Fenway Park.', 'Keep right to take Cambridge Street toward Cambridge/Fenway Park.', 'Turn left onto US 3/MA 2/Memorial Drive.', 'Take the exit on the right after 1821 meters or 100-123 seconds.', 'Turn right onto Mount Auburn Street.', 'Turn left onto Ash Street.', 'Turn left onto Brattle Street.', 'You have arrived at your destination.']]"
