id,start_name,destination_name,start_coordinates,destination_coordinates,plan_length_1,plan_length_2,plan_length_3,average_plan_length,plan_1,plan_2,plan_3
124,"U.S. Courthouse and Post Office (Indianapolis, IN)","Hermitage, The (Brookville, IN)","[-86.15704296619396, 39.770827350000005]","[-85.0047025683258, 39.4237307]",16,28,18,20.666666666666668,"['Drive east on East New York Street.', 'Turn right onto North Pennsylvania Street.', 'Turn left onto East Maryland Street.', 'Bear right onto East Washington Street.', 'Turn right onto Southeastern Avenue.', 'Enter the roundabout and take the 2nd exit onto Southeastern Avenue.', 'Continue on US 421X.', 'Take exit 116 on the right onto SR 44 South/SR 9 South toward Shelbyville/Rushville.', 'Bear right onto SR 44.', 'Turn right onto South Main Street/US 52/SR 3. Continue on US 52.', 'Turn right onto Main Street/US 52/SR 1.', 'Turn left onto East 9th Street.', 'Turn right onto Market Street.', 'Turn left onto East 8th Street.', 'Turn left after 61 meters or 8-10 seconds.', 'Your destination is on the left.']","['Drive east on East New York Street.', 'Turn right onto North East Street.', 'Turn left onto East Ohio Street.', 'Turn right onto North Park Avenue.', 'Turn left onto East Wabash Street.', 'Turn right onto North Broadway Street.', 'Turn left onto East Market Street.', 'Turn right onto North Davidson Street.', 'Turn left onto East Washington Street.', 'Turn right onto Southeastern Avenue.', 'Enter the roundabout and take the 2nd exit onto Southeastern Avenue.', 'Turn left onto East Pleasant Run Parkway North Drive.', 'Bear right onto Brookville Road.', 'Bear right onto Brookville Road/US 52. Continue on US 52.', 'Enter the roundabout and take the 2nd exit onto East Main Street/US 52.', 'Turn right onto North Jackson Street/US 52 Truck/SR 44.', 'Turn left onto West 1st Street/US 52 Truck/SR 44 Truck.', 'Turn right onto South Main Street/US 52/SR 3. Continue on US 52.', 'Turn right onto Main Street/US 52/SR 1.', 'Turn left after 196 meters or 13-15 seconds.', 'Turn right onto Franklin Avenue.', 'Turn left after 163 meters or 20-24 seconds.', 'Turn right after 65 meters or 10-13 seconds.', 'Turn left onto East 9th Street.', 'Turn right onto Long Street.', 'Turn left onto East 8th Street.', 'Turn left after 185 meters or 19-23 seconds.', 'Your destination is on the left.']","['Drive east on East New York Street.', 'Turn left onto North Delaware Street.', 'Turn right to take the I 70 East ramp.', 'Keep right to take exit 89 onto I 465 toward Shadeland Avenue.', 'Keep left to take I 465.', 'Keep right to take I 465.', 'Keep right to take I 465 South.', 'Take exit 47 on the right onto US 52 East toward Brookville Road.', 'Keep right to take Brookville Road/US 52 East toward New Palestine.', 'Bear right onto Brookville Road/US 52. Continue on US 52.', 'Enter the roundabout and take the 2nd exit onto East Main Street/US 52.', 'Turn right onto South Main Street/US 52/SR 3. Continue on US 52.', 'Turn right onto Main Street/US 52/SR 1.', 'Turn left onto East 9th Street.', 'Turn right onto Market Street.', 'Turn left onto East 8th Street.', 'Turn left after 61 meters or 8-10 seconds.', 'Your destination is on the left.']"
125,"Woman's Club of Fall River (Fall River, MA)","Boulevard Diner (Worcester, MA)","[-71.15122319946404, 41.70693235416313]","[-71.78721740981044, 42.26485245]",13,18,17,16.0,"['Drive west on Walnut Street.', 'Turn left onto Rock Street.', 'Turn right onto Locust Street.', 'Turn left onto Durfee Street.', 'Turn right to take the ramp.', 'Keep left to take I 195 West toward Providence Rhodes Island.', 'Keep right to take I 95 North toward Boston Massachusetts.', 'Keep left to take I 95 North toward Boston Massachusetts.', 'Take the RI 146 exit on the right toward State Offices.', 'Keep left to take RI 146 North.', 'Take exit 13 on the right onto I 290 East toward Shrewsbury/Marlboro.', 'Take exit 19 on the right toward Shrewsbury Street.', 'Your destination is on the right.']","['Drive west on Walnut Street.', 'Turn left onto Rock Street.', 'Turn right onto Locust Street.', 'Turn left onto June Street.', 'Turn right onto Cherry Street.', 'Turn left onto Durfee Street.', 'Turn right to take the ramp.', 'Keep left to take I 195 West toward Providence Rhodes Island.', 'Take exit 1C on the right onto US 44 West toward South Main Street.', 'Keep left to take RI 246.', 'Turn left to take the RI 146 North ramp.', 'Take exit 20 on the right onto MA 122A North/McKeon Road toward Vernon Hill.', 'Turn left onto Millbury Street/MA 122A.', 'Turn right onto Providence Street/MA 122A.', 'Turn left onto Winthrop Street/MA 122A. Continue on MA 122A.', 'Turn right to take the I 290 East ramp.', 'Take exit 19 on the right toward Shrewsbury Street.', 'Your destination is on the right.']","['Drive west on Walnut Street.', 'Turn right onto North Main Street.', 'Turn left onto President Avenue/US 6.', 'Turn right onto US 6/MA 138 North/MA 79 North/Davol Street. Continue on US 6/MA 79 North.', 'Take the US 6 West/MA 138 North exit toward Somerset.', 'Keep right to take US 6 West/MA 138 North toward Somerset.', 'Keep left to stay on US 6.', 'Take the US 6 ramp on the right toward Providence.', 'Take exit 1C on the right onto US 44 West toward South Main Street.', 'Keep right to take Pawtucket Avenue/US 1.', 'Make a sharp left to stay on Pawtucket Avenue/US 1.', 'Turn left onto Pawtucket Avenue/US 1. Continue on US 1.', 'Make a sharp right onto Branch Avenue.', 'Take the RI 146 North ramp on the right.', 'Take exit 13 on the right onto I 290 East toward Shrewsbury/Marlboro.', 'Take exit 19 on the right toward Shrewsbury Street.', 'Your destination is on the right.']"
126,"Compton Bassett (Upper Marlboro, MD)","Patuxent River Naval Air Station (Trapnell Field) (PATUXENT RIVER, MD)","[-76.71826266113662, 38.81543345]","[-76.411797, 38.285999]",8,12,12,10.666666666666666,"['Drive west.', 'Turn right onto Marlboro Pike.', 'Turn left onto Green Landing Road.', 'Turn left to take the MD 4 South ramp.', 'Turn left onto MD 235/Three Notch Road.', 'Turn left onto Cedar Point Road.', 'Bear right onto Bronson Road.', 'Your destination is on the right.']","['Drive west.', 'Turn right onto Marlboro Pike.', 'Turn left onto Green Landing Road.', 'Turn left to take the MD 4 South ramp.', 'Turn left onto West End Boulevard.', 'Turn right onto Saint Leonard Road/MD 765.', 'Enter the roundabout and take the 2nd exit onto Saint Leonard Road/MD 765.', 'Turn left onto MD 2/MD 4/South Solomons Island Road. Continue on MD 4.', 'Turn left onto MD 235/Three Notch Road.', 'Turn left onto Cedar Point Road.', 'Bear right onto Bronson Road.', 'Your destination is on the right.']","['Drive west.', 'Turn right onto Marlboro Pike.', 'Turn left to stay on Marlboro Pike.', 'Turn left onto US 301/Crain Highway.', 'Take the exit toward Lexington Park/Leonardtown.', 'Bear left onto MD 5/Mattawoman Beantown Road.', 'Turn left onto MD 5/Leonardtown Road. Continue on MD 5.', 'Keep left to take MD 235/Three Notch Road.', 'Make a left U-turn to stay on Three Notch Road/MD 235.', 'Turn right onto Cedar Point Road.', 'Bear right onto Bronson Road.', 'Your destination is on the right.']"
127,"FREEMAN NEOSHO HOSPITAL (NEOSHO, MO)","CITIZENS MEMORIAL HOSPITAL (BOLIVAR, MO)","[-94.36946792, 36.86695396]","[-93.42011395, 37.6264835]",14,27,16,19.0,"['Drive north on South Jefferson Street.', 'Turn left onto West Spring Street.', 'Turn right onto North College Street.', 'Turn left to take the ramp.', 'Take the I 44 East ramp on the right toward Springfield.', 'Take exit 77 on the right onto Kansas Expressway toward Bolivar.', 'Keep left to take exit 77 onto Kansas Expressway toward Bolivar.', 'Take the MO 83/MO 13 Business exit on the right toward Bolivar.', 'Turn right onto South Springfield Avenue/MO 83/MO 13 Business.', 'Turn left onto East Broadway Street/MO 32/MO 83/MO 13 Business.', 'Turn right onto North Main Avenue/MO 83. Continue on MO 83.', 'Turn right after 1902 meters or 108-132 seconds.', 'Turn left after 34 meters or 9-11 seconds.', 'Your destination is on the right.']","['Drive north on South Jefferson Street.', 'Turn left onto West Brook Street.', 'Turn right onto North College Street.', 'Continue on US 60.', 'Turn left onto MO 97.', 'Turn right onto West Commercial Street/MO 37/MO 97. Continue on MO 37/MO 97.', 'Turn left onto North Elm Street/MO 97.', 'Turn right onto East Madison Street/MO 97.', 'Turn left onto Lindsey Boulevard/MO 97. Continue on MO 97.', 'Turn right to stay on MO 97.', 'Turn left to stay on MO 97.', 'Turn right to take the I 44 East ramp toward Springfield.', 'Take exit 58 on the right onto MO O toward Halltown.', 'Turn left onto MO O.', 'Turn left onto MO O/MO Z. Continue on MO Z.', 'Turn right onto MO 266/HR 66.', 'Turn left onto MO F.', 'Turn left to stay on MO F.', 'Turn left onto North Washington Street/MO 123. Continue on MO 123.', 'Turn right onto MO T.', 'Turn right to stay on MO T.', 'Turn left onto Highland Terrace.', 'Turn left onto South Oakland Avenue.', 'Turn right to stay on South Oakland Avenue.', 'Turn right after 2534 meters or 181-221 seconds.', 'Turn left after 34 meters or 9-11 seconds.', 'Your destination is on the right.']","['Drive north on South Jefferson Street.', 'Turn left onto West Coler Street/MO 86. Continue on MO 86.', 'Bear right onto West Harmony Street/MO 86.', 'Turn right onto I 49 Bus/MO 86.', 'Enter the roundabout and take the 2nd exit onto I 49 Bus/MO 86.', 'Turn right to take the US 71 North ramp toward Joplin.', 'Take exit 39B on the right onto I 44 East/I 49 North/US 71 North toward Springfield/Kansas City.', 'Take exit 77 on the right onto Kansas Expressway toward Bolivar.', 'Keep left to take exit 77 onto Kansas Expressway toward Bolivar.', 'Take the MO 83/MO 13 Business exit on the right toward Bolivar.', 'Turn right onto South Springfield Avenue/MO 83/MO 13 Business.', 'Turn left onto East Broadway Street/MO 32/MO 83/MO 13 Business.', 'Turn right onto North Main Avenue/MO 83. Continue on MO 83.', 'Turn right after 1902 meters or 108-132 seconds.', 'Turn left after 34 meters or 9-11 seconds.', 'Your destination is on the right.']"
128,"Duncan, Robert P., House (Bexley, OH)","LICKING MEMORIAL HOSPITAL (NEWARK, OH)","[-82.9408708724261, 39.97614287472482]","[-82.45063523, 40.04830193]",24,16,10,16.666666666666668,"['Drive north on North Parkview Avenue.', 'Bear right onto Caroline Avenue.', 'Turn left onto North Columbia Avenue.', 'Bear right onto Delmar Drive.', 'Turn left onto North Cassady Avenue.', 'Turn left onto East 5th Avenue.', 'Turn right to take the US 62 East ramp toward Airport.', 'Take exit 10C onto SR 161 toward Easton Way.', 'Keep right to take exit 10B onto SR 161 toward Easton Way.', 'Take exit 30&33 on the right onto SR 161 toward New Albany.', 'Keep left to take SR 161 toward New Albany.', 'Keep right to take exit 30 onto SR 161 toward New Albany.', 'Keep right to take SR 161 East toward New Albany.', 'Keep left to take SR 161 East toward New Albany.', 'Keep left to take SR 161 East toward New Albany.', 'Take exit 29 on the right toward Thornwood Crossing.', 'Turn right onto Thornwood Crossing.', 'Enter the roundabout and take the 2nd exit onto Reddington Road.', 'Turn right onto Cherry Valley Road Northeast.', 'Turn left onto West Main Street.', 'Turn left after 1437 meters or 89-108 seconds.', 'Turn left after 239 meters or 40-49 seconds.', 'Turn left after 24 meters or 6-7 seconds.', 'Your destination is on the left.']","['Drive north on North Parkview Avenue.', 'Turn right onto Maryland Avenue.', 'Turn right onto North Waverly Street.', 'Turn left after 225 meters or 23-28 seconds.', 'Turn right onto North Napoleon Avenue.', 'Turn left onto East Broad Street/SR 16. Continue on SR 16.', 'Take the SR 16 East ramp on the right toward Newark.', 'Turn right onto River Road.', 'Turn left to stay on River Road.', 'Enter the roundabout and take the 2nd exit onto Reddington Road.', 'Turn right onto Cherry Valley Road Northeast.', 'Turn left onto West Main Street.', 'Turn left after 1437 meters or 89-108 seconds.', 'Turn left after 239 meters or 40-49 seconds.', 'Turn left after 24 meters or 6-7 seconds.', 'Your destination is on the left.']","['Drive south on North Parkview Avenue.', 'Turn left onto East Broad Street/US 40/SR 16. Continue on SR 16.', 'Take the SR 16 East ramp on the right toward Newark.', 'Take the SR 79 South exit on the right toward Heath.', 'Take the exit on the right after 632 meters or 24-29 seconds.', 'Turn right onto West Main Street.', 'Turn right after 2483 meters or 175-213 seconds.', 'Turn left after 239 meters or 45-55 seconds.', 'Turn left after 24 meters or 6-7 seconds.', 'Your destination is on the left.']"
129,"Cape May County Airport (WILDWOOD, NJ)","LOURDES MEDICAL CENTER OF BURLINGTON COUNTY (WILLINGBORO, NJ)","[-74.9083023071, 39.0084991455]","[-74.880726, 40.04653235]",17,34,23,24.666666666666668,"['Drive southwest.', 'Turn right onto Essex Road.', 'Turn left onto Langley Road.', 'Turn left onto Breakwater Road/CR 613.', 'Turn left onto Seashore Road/CR 626. Continue on CR 626.', 'Turn left onto NJ 47/South Delsea Drive.', 'Keep left to take NJ 55.', 'Take exit 1B on the right onto I 295 North toward Trenton.', 'Take exit 47B on the right onto CR 541 North toward Burlington.', 'Bear right after 1164 meters or 44-54 seconds.', 'Turn left onto CR 541 Truck.', 'Bear right onto Sunset Road/CR 634.', 'Turn left onto Hospital Drive.', 'Turn right to stay on Hospital Drive.', 'Turn left after 19 meters or 5-6 seconds.', 'Turn left after 70 meters or 13-16 seconds.', 'You have arrived at your destination.']","['Drive southwest.', 'Turn right onto Essex Road.', 'Turn left onto Langley Road.', 'Turn left onto Breakwater Road/CR 613.', 'Turn left onto Shore Road/US 9. Continue on US 9.', 'Turn left onto Court House South Dennis Road/CR 657.', 'Turn right onto NJ 47/North Delsea Drive.', 'Keep right to take Main Street.', 'Turn right onto Petersburg Road/CR 610. Continue on CR 610.', 'Enter the roundabout and take the 2nd exit onto Dennisville-Petersburg Road/CR 610.', 'Turn left onto Mt Pleasant - Tuckahoe Road/CR 664.', 'Turn right onto Marshall Avenue/CR 669.', 'Turn left onto NJ 50.', 'Turn left after 1320 meters or 81-99 seconds.', 'Turn right onto Main Street/CR 611.', 'Bear left onto NJ 50/CR 557.', 'Turn left onto Old Harding Highway/CR 559.', 'Turn right onto Weymouth Road/CR 559. Continue on CR 559.', 'Turn left onto US 322/Black Horse Pike.', 'Keep right to take NJ 73.', 'Keep right toward Maple Avenue/Marlton/All Turns.', 'Turn right onto West Main Street/CR 537. Continue on CR 537.', 'Turn left onto Chester Avenue/CR 603.', 'Turn right onto Bridgeboro Road/CR 613. Continue on CR 613.', 'Keep left to take South Bridgeboro Street/CR 613.', 'Take the exit on the right after 113 meters or 5-6 seconds.', 'Turn right after 3630 meters or 155-190 seconds.', 'Turn left onto Sidney Lane.', 'Turn left onto Sunset Road/CR 634.', 'Turn right onto Hospital Drive.', 'Turn right to stay on Hospital Drive.', 'Turn left after 19 meters or 5-6 seconds.', 'Turn left after 70 meters or 13-16 seconds.', 'You have arrived at your destination.']","['Drive southwest.', 'Turn right onto Essex Road.', 'Turn left after 970 meters or 94-114 seconds.', 'Turn left onto Breakwater Road/CR 613.', 'Turn left onto Shore Road/US 9.', 'Turn left onto NJ 50.', 'Turn right onto US 40/NJ 50/Harding Highway.', 'Turn right onto Green Bank Road/CR 563. Continue on CR 563.', 'Turn left to stay on CR 563.', 'Turn left onto Tabernacle Chatsworth Road/CR 532. Continue on CR 532.', 'Turn right onto Stokes Road/CR 541. Continue on CR 541.', 'Turn left onto Mount Holly Bypass/CR 541. Continue on CR 541.', 'Turn left onto CR 541/Burlington - Mount Holly Road. Continue on CR 541.', 'Take the exit on the right after 5630 meters or 248-303 seconds.', 'Keep right to stay on CR 541 Truck.', 'Continue on Burlington Bypass/CR 541 Truck.', 'Make a left U-turn to stay on CR 541 Truck.', 'Bear right onto Sunset Road/CR 634.', 'Turn left onto Hospital Drive.', 'Turn right to stay on Hospital Drive.', 'Turn left after 19 meters or 5-6 seconds.', 'Turn left after 70 meters or 13-16 seconds.', 'You have arrived at your destination.']"
130,"Durisol House (New Canaan, CT)","New Haven Jewish Home for the Aged (New Haven, CT)","[-73.500658, 41.1399557]","[-72.9389765, 41.3025901]",15,25,11,17.0,"['Drive east.', 'Turn left onto Marshall Ridge Road.', 'Turn right onto Richmond Hill Road.', 'Turn left onto Park Street.', 'Turn right onto Cherry Street.', 'Turn left onto Main Street/CT 106/CT 124.', 'Turn right onto East Avenue/CT 106.', 'Turn right onto New Norwalk Road/CT 123. Continue on CT 123.', 'Turn left to take the CT 15 North ramp.', 'Take exit 42A on the right onto CT 34 East toward New Haven.', 'Turn right onto CT 10/Ella T. Grasso Boulevard.', 'Turn left onto Legion Avenue.', 'Turn right onto Orchard Street.', 'Turn left onto Davenport Avenue.', 'Your destination is on the left.']","['Drive east.', 'Turn left onto Marshall Ridge Road.', 'Turn right onto Richmond Hill Road.', 'Turn right onto Park Street.', 'Turn left onto Mead Street.', 'Turn right onto South Avenue/CT 106/CT 124.', 'Turn left onto Church Street.', 'Turn right onto Main Street.', 'Turn left onto Old Norwalk Road.', 'Turn right onto New Norwalk Road/CT 123. Continue on CT 123.', 'Turn left to take the CT 15 North ramp.', 'Take exit 41 on the right onto CT 121 toward Orange.', 'Turn right onto Orange Center Road/CT 152.', 'Turn left onto Tyler City Road.', 'Turn right onto Racebrook Road/CT 114.', 'Turn left onto New Haven Avenue.', 'Bear right onto Dogwood Road.', 'Turn left onto Meloy Road.', 'Turn left onto Dalton Street.', 'Turn right onto Tuthill Street.', 'Turn left after 54 meters or 10-12 seconds.', 'Turn right after 42 meters or 7-9 seconds.', 'Turn left onto Boston Post Road/US 1. Continue on US 1.', 'Turn left onto Davenport Avenue.', 'Your destination is on the left.']","['Drive east.', 'Turn right onto Marshall Ridge Road.', 'Turn left onto Weed Street.', 'Turn right onto Old Stamford Road/CT 106.', 'Turn right to take the CT 15 North ramp.', 'Take exit 54 on the right onto I 95/US 1 toward Milford/New London.', 'Keep left to take exit 1A onto US 1 North toward Milford.', 'Turn right onto Boston Post Road/US 1.', 'Turn left onto Boston Post Road/US 1. Continue on US 1.', 'Turn left onto Davenport Avenue.', 'Your destination is on the left.']"
131,"Temora (Ellicott City, MD)","Martin State Airport (BALTIMORE, MD)","[-76.82571711320755, 39.25098229245283]","[-76.413803, 39.325699]",16,18,12,15.333333333333334,"['Drive northeast on Columbia Road.', 'Turn right to stay on Columbia Road.', 'Turn right onto Saint Johns Lane.', 'Turn right onto Long Gate Parkway.', 'Turn left to take the ramp toward MD 100 East.', 'Take exit 5B on the right onto I 95 North toward Baltimore.', 'Keep left to take I 95 North (left tunnel).', 'Take exit 61 on the right onto US 40 East toward Pulaski Highway.', 'Turn right toward MD 700 South/Martin Boulevard.', 'Bear right to stay on Martin Boulevard/MD 700 South.', 'Bear right toward MD 150 East/Chase.', 'Bear right onto Eastern Boulevard/MD 150.', 'Turn right onto Wilson Point Road/MD 587 South.', 'Bear left onto Strawberry Point Road.', 'Turn left after 397 meters or 64-78 seconds.', 'You have arrived at your destination.']","['Drive northeast on Columbia Road.', 'Turn right to stay on Columbia Road.', 'Turn right onto Saint Johns Lane.', 'Turn left onto Old Columbia Pike.', 'Turn right onto Main Street.', 'Turn right onto South President Street.', 'Turn left onto Eastern Avenue.', 'Keep left to take MD 150.', 'Bear right after 11111 meters or 691-844 seconds.', 'Turn left after 50 meters or 7-8 seconds.', 'Turn right after 29 meters or 6-7 seconds.', 'Turn right onto Chesapeake Park Drive.', 'Turn left to stay on Chesapeake Park Drive.', 'Turn right after 375 meters or 50-61 seconds.', 'Turn right onto Wilson Point Road/MD 587 South.', 'Bear left onto Strawberry Point Road.', 'Turn left after 397 meters or 64-78 seconds.', 'You have arrived at your destination.']","['Drive northeast on Columbia Road.', 'Turn right to stay on Columbia Road.', 'Turn right onto Baltimore National Pike/US 40. Continue on US 40.', 'Bear right onto West Franklin Street/US 40. Continue on US 40.', 'Keep left to stay on US 40 toward Downtown.', 'Turn right toward MD 700 South/Martin Boulevard.', 'Bear right toward MD 150 East/Chase.', 'Bear right onto Eastern Boulevard/MD 150.', 'Turn right onto Wilson Point Road/MD 587 South.', 'Bear left onto Strawberry Point Road.', 'Turn left after 397 meters or 64-78 seconds.', 'You have arrived at your destination.']"
132,"RHEA MEDICAL CENTER (DAYTON, TN)","Blount, William, Mansion (Knoxville, TN)","[-84.98177946, 35.52910134]","[-83.91481044970357, 35.96109]",16,18,10,14.666666666666666,"['Drive north.', 'Turn right after 22 meters or 3-4 seconds.', 'Turn right onto US 27/Rhea County Highway.', 'Turn right onto Watts Bar Highway/TN 68.', 'Bear right after 18261 meters or 670-819 seconds.', 'Enter the roundabout and take the 2nd exit.', 'Bear right onto SR 68.', 'Turn left to take the I 75 North ramp.', 'Keep left to take I 40.', 'Take exit 388 on the right toward Convention Center/East Tennessee History Center/Museum of Art.', 'Keep left to take exit 388 onto US 441/Henley Street toward Convention Center/East Tennessee History Center/Museum of Art.', 'Turn left onto Main Street West.', 'Turn right onto South Gay Street.', 'Turn left onto West Hill Avenue.', 'Turn right after 105 meters or 10-12 seconds.', 'Your destination is on the right.']","['Drive south.', 'Turn left after 34 meters or 4-5 seconds.', 'Turn left onto White Oak Road.', 'Turn left onto Oak Hill Road.', 'Turn right onto Fraley Road.', 'Bear left to stay on Fraley Road.', 'Turn left onto Old Washington Highway/SR 30.', 'Turn left onto Highway 58/SR 58.', 'Turn right onto Centerpoint Road.', 'Turn right onto SR 68.', 'Turn left to take the I 75 North ramp.', 'Take exit 380 on the right onto US 11/US 70 toward West Hills.', 'Turn right onto Buckingham Drive Northwest.', 'Bear left onto Kingston Pike/US 11/US 70.', 'Turn right onto South Gay Street.', 'Turn left onto West Hill Avenue.', 'Turn right after 105 meters or 10-12 seconds.', 'Your destination is on the right.']","['Drive north.', 'Turn right after 22 meters or 3-4 seconds.', 'Turn right onto US 27/Rhea County Highway. Continue on US 27.', 'Bear right onto Roane State Highway/US 70. Continue on US 70.', 'Keep straight to take Kingston Pike/US 11/US 70.', 'Turn right onto Neyland Drive/US 11/US 70. Continue on Neyland Drive.', 'Turn left onto Walnut Street.', 'Turn right onto West Hill Avenue.', 'Turn right after 319 meters or 31-38 seconds.', 'Your destination is on the right.']"
133,"Norwood Memorial Airport (NORWOOD, MA)","Barnes, James B., House (Cambridge, MA)","[-71.1728973389, 42.1904983521]","[-71.07938625791519, 42.37211565]",14,21,12,15.666666666666666,"['Drive southwest.', 'Turn left onto Access Road.', 'Turn left onto Neponset Street.', 'Take the I 95 North ramp on the right toward Boston.', 'Keep right to take exit 26 onto I 93 North toward Boston.', 'Keep left to stay on US 1 toward Boston.', 'Take exit 18 on the right toward Storrow Drive.', 'Keep left to take MA 28 North toward Leverett Circle/North Station.', ""Keep left to take MA 28 North toward O'Brien Highway."", 'Continue on MA 28.', 'Turn left onto Cambridge Street.', 'Turn right to stay on Cambridge Street.', 'Turn right onto Third Street.', 'Your destination is on the right.']","['Drive southwest.', 'Turn right onto Access Road.', 'Bear right after 824 meters or 58-71 seconds.', 'Turn left after 108 meters or 14-18 seconds.', 'Bear right onto Boston-Providence Turnpike/US 1.', 'Take the exit on the right after 6497 meters or 306-375 seconds.', 'Turn right onto Washington Street.', 'Bear left onto South Huntington Avenue.', 'Turn right to take the ramp toward Riverway.', 'Turn right onto Brookline Avenue.', 'Turn right onto Boylston Street.', 'Bear right onto Charlesgate.', 'Bear right after 163 meters or 12-15 seconds.', 'Bear left onto Charlesgate East.', 'Turn right onto Back Street.', 'Turn left onto Massachusetts Avenue/MA 2A.', 'Bear right onto Massachusetts Avenue/MA 2A West. Continue on Massachusetts Avenue.', 'Turn right onto Vassar Street.', 'Bear right onto Binney Street.', 'Turn left onto Third Street.', 'Your destination is on the right.']","['Drive southwest.', 'Turn right onto Access Road.', 'Bear right onto Boston-Providence Turnpike/US 1. Continue on US 1.', 'Take the I 95 South ramp on the right toward Canton/Providence Rhode Island.', 'Keep left to take exit 26 onto I 93 North/US 1 toward Boston.', 'Keep left to stay on US 1 toward Boston.', 'Keep right to take I 93 North toward Concord NH.', 'Take exit 24 on the right onto MA 28 toward Fellsway West/Winchester.', 'Enter Roosevelt Circle and take the 2nd exit toward MA 28 South/Fellsway West/Malden.', 'Keep left to stay on MA 28.', 'Turn right onto Third Street.', 'Your destination is on the left.']"
134,"First Presbyterian Church of West Chester (West Chester, PA)","JENNERSVILLE REGIONAL HOSPITAL (WEST GROVE, PA)","[-75.60580015953437, 39.957284400000006]","[-75.887735, 39.822039]",13,17,12,14.0,"['Drive southwest on Hemlock Alley.', 'Turn right onto South Darlington Street.', 'Turn left onto West Miner Street/PA 842 West. Continue on West Miner Street.', 'Turn left onto South Bradford Avenue.', 'Turn right onto Lenape Road/PA 52.', 'Enter the roundabout and take the 2nd exit onto Lenape Road/PA 52.', 'Turn right onto US 1 South/East Baltimore Pike. Continue on US 1 South.', 'Take the PA 796 exit on the right toward Jennersville.', 'Turn left onto North Jennersville Road/PA 796/US 1 Alternate Truck.', 'Turn right onto West Baltimore Pike.', 'Turn left after 1589 meters or 79-96 seconds.', 'Bear left after 34 meters or 6-8 seconds.', 'Your destination is on the left.']","['Drive southwest on Hemlock Alley.', 'Turn right onto South Brandywine Street.', 'Turn left onto West Miner Street/PA 842. Continue on PA 842.', 'Turn right onto South Bridge Road/PA 842. Continue on PA 842.', 'Turn right onto West Doe Run Road/PA 82/PA 842.', 'Turn left onto Clonmell Upland Road/PA 842.', 'Turn left onto Newark Road.', 'Turn right onto East Street Road/PA 926. Continue on PA 926.', 'Turn left onto White Horse Road.', 'Turn right onto Hilton Road.', 'Turn left onto North Jennersville Road/PA 796.', 'Turn right onto West Baltimore Pike.', 'Turn left after 1554 meters or 77-95 seconds.', 'Turn right after 20 meters or 5-6 seconds.', 'Turn left after 39 meters or 6-7 seconds.', 'Bear left after 8 meters or 2-3 seconds.', 'Your destination is on the left.']","['Drive southwest on Hemlock Alley.', 'Turn right onto South Darlington Street.', 'Turn left onto West Miner Street/PA 842 West.', 'Turn right onto South Bridge Road/PA 842. Continue on PA 842.', 'Turn right onto West Doe Run Road/PA 82/PA 842.', 'Turn left onto Clonmell Upland Road/PA 842.', 'Turn left onto North Chatham Road/PA 841. Continue on PA 841.', 'Turn right onto London Grove Road/PA 841.', 'Turn left onto Chatham Road/PA 841.', 'Turn left after 9025 meters or 453-554 seconds.', 'Bear left after 34 meters or 6-8 seconds.', 'Your destination is on the left.']"
